"date","weeksum","yearlabel","episode","day"
"2014-04-06",0,2014,1,"6 апр."
"2014-04-13",0,0,1,"13 апр."
"2014-04-20",0,0,1,"20 апр."
"2014-04-27",0,0,1,"27 апр."
"2014-05-04",0,0,1,"4 мая"
"2014-05-11",0,0,1,"11 мая"
"2014-05-18",0,0,1,"18 мая"
"2014-05-25",0,0,1,"25 мая"
"2014-06-01",0,0,1,"1 июн."
"2014-06-08",0,0,1,"8 июн."
"2014-06-15",0,0,1,"15 июн."
"2014-06-22",0,0,1,"22 июн."
"2014-06-29",0,0,1,"29 июн."
"2014-07-06",0,0,1,"6 июл."
"2014-07-13",0,0,1,"13 июл."
"2014-07-20",0,0,1,"20 июл."
"2014-07-27",0,0,1,"27 июл."
"2014-08-03",0,0,1,"3 авг."
"2014-08-10",0,0,1,"10 авг."
"2014-08-17",0,0,1,"17 авг."
"2014-08-24",0,0,1,"24 авг."
"2014-08-31",0,0,1,"31 авг."
"2014-09-07",0,0,1,"7 сент."
"2014-09-14",0,0,1,"14 сент."
"2014-09-21",0,0,1,"21 сент."
"2014-09-28",0,0,1,"28 сент."
"2014-10-05",0,0,1,"5 окт."
"2014-10-12",0,0,1,"12 окт."
"2014-10-19",0,0,1,"19 окт."
"2014-10-26",0,0,1,"26 окт."
"2014-11-02",0,0,1,"2 нояб."
"2014-11-09",0,0,1,"9 нояб."
"2014-11-16",0,0,1,"16 нояб."
"2014-11-23",0,0,1,"23 нояб."
"2014-11-30",0,0,1,"30 нояб."
"2014-12-07",0,0,1,"7 дек."
"2014-12-14",0,0,1,"14 дек."
"2014-12-21",0,0,1,"21 дек."
"2014-12-28",0,0,1,"28 дек."
"2015-01-04",0,2015,1,"4 янв."
"2015-01-11",0,0,1,"11 янв."
"2015-01-18",0,0,1,"18 янв."
"2015-01-25",0,0,1,"25 янв."
"2015-02-01",0,0,1,"1 февр."
"2015-02-08",0,0,1,"8 февр."
"2015-02-15",0,0,1,"15 февр."
"2015-02-22",0,0,1,"22 февр."
"2015-03-01",0,0,1,"1 мар."
"2015-03-08",0,0,1,"8 мар."
"2015-03-15",0,0,1,"15 мар."
"2015-03-22",0,0,1,"22 мар."
"2015-03-29",0,0,1,"29 мар."
"2015-04-05",0,0,1,"5 апр."
"2015-04-12",0,0,1,"12 апр."
"2015-04-19",3465,0,2,"19 апр."
"2015-04-26",2705,0,2,"26 апр."
"2015-05-03",3049,0,2,"3 мая"
"2015-05-10",2682,0,2,"10 мая"
"2015-05-17",2151,0,2,"17 мая"
"2015-05-24",1493,0,2,"24 мая"
"2015-05-31",1029,0,2,"31 мая"
"2015-06-07",2513,0,2,"7 июн."
"2015-06-14",2358,0,2,"14 июн."
"2015-06-21",1559,0,2,"21 июн."
"2015-06-28",1635,0,2,"28 июн."
"2015-07-05",1607,0,2,"5 июл."
