"date","ukr","resp"
"2018-01-14",35,68
"2018-01-21",28,47
"2018-01-28",13,45
"2018-02-04",22,92
"2018-02-11",58,73
"2018-02-18",81,71
"2018-02-25",83,73
"2018-03-04",35,50
"2018-03-11",20,10
"2018-03-18",15,12
"2018-03-25",22,14
"2018-04-01",226,70
"2018-04-08",194,119
"2018-04-15",298,185
"2018-04-22",263,177
"2018-04-29",355,196
"2018-05-06",118,179
"2018-05-13",314,181
"2018-05-20",314,196
"2018-05-27",237,97
"2018-06-03",188,91
"2018-06-10",191,52
"2018-06-17",137,67
"2018-06-24",119,59
"2018-07-01",46,40
"2018-07-08",15,60
"2018-07-15",115,34
"2018-07-22",119,48
"2018-07-29",169,31
"2018-08-05",194,43
"2018-08-12",225,55
"2018-08-19",243,42
"2018-08-26",161,37
"2018-09-02",99,12
"2018-09-09",160,96
"2018-09-16",185,150
"2018-09-23",138,146
"2018-09-30",154,151
"2018-10-07",140,177
"2018-10-14",182,160
"2018-10-21",105,158
"2018-10-28",75,145
"2018-11-04",127,133
"2018-11-11",76,104
"2018-11-18",75,116
"2018-11-25",60,129
"2018-12-02",57,134
"2018-12-09",79,149
"2018-12-16",74,145
"2018-12-23",47,143
"2018-12-30",57,95
"2019-01-06",22,27
"2019-01-13",21,68
"2019-01-20",66,92
"2019-01-27",34,104
"2019-02-03",41,117
"2019-02-10",56,149
"2019-02-17",54,202
"2019-02-24",73,148
"2019-03-03",53,125
"2019-03-10",46,103
"2019-03-17",18,77
"2019-03-24",35,116
"2019-03-31",75,105
"2019-04-07",80,118
"2019-04-14",83,121
"2019-04-21",59,71
"2019-04-28",82,102
"2019-05-05",91,82
"2019-05-12",85,116
"2019-05-19",82,96
"2019-05-26",54,75
"2019-06-02",67,98
"2019-06-09",107,132
"2019-06-16",143,110
"2019-06-23",126,88
"2019-06-30",212,166
"2019-07-07",151,168
"2019-07-14",149,150
"2019-07-21",102,110
"2019-07-28",5,22
"2019-08-04",38,33
"2019-08-11",49,52
"2019-08-18",68,70
"2019-08-25",46,44
"2019-09-01",90,125
"2019-09-08",83,83
"2019-09-15",109,108
"2019-09-22",84,108
"2019-09-29",149,140
"2019-10-06",159,137
"2019-10-13",124,128
"2019-10-20",142,153
"2019-10-27",122,136
"2019-11-03",87,129
"2019-11-10",86,111
"2019-11-17",91,84
"2019-11-24",60,50
"2019-12-01",49,57
"2019-12-08",47,57
"2019-12-15",54,43
"2019-12-22",36,48
"2019-12-29",62,38
"2020-01-05",21,19
"2020-01-12",35,35
"2020-01-19",53,25
"2020-01-26",52,69
"2020-02-02",60,53
"2020-02-09",50,45
"2020-02-16",42,44
"2020-02-23",75,98
"2020-03-01",53,89
"2020-03-08",42,89
"2020-03-15",48,129
"2020-03-22",66,83
"2020-03-29",56,66
"2020-04-05",78,138
"2020-04-12",59,84
"2020-04-19",25,37
"2020-04-26",69,96
"2020-05-03",79,98
"2020-05-10",80,103
"2020-05-17",44,77
"2020-05-24",69,51
"2020-05-31",57,8
"2020-06-07",55,12
"2020-06-14",84,24
"2020-06-21",80,33
"2020-06-28",53,26
"2020-07-05",69,34
"2020-07-12",68,37
"2020-07-19",92,31
"2020-07-26",73,42
"2020-08-02",7,7
"2020-08-09",17,8
"2020-08-16",4,6
"2020-08-23",4,4
"2020-08-30",6,4
"2020-09-06",6,2
"2020-09-13",1,4
"2020-09-20",4,1
"2020-09-27",3,17
"2020-10-04",5,24
"2020-10-11",8,5
"2020-10-18",22,25
"2020-10-25",16,21
"2020-11-01",10,7
"2020-11-08",28,27
"2020-11-15",15,14
"2020-11-22",12,4
"2020-11-29",28,17
"2020-12-06",17,12
"2020-12-13",23,15
"2020-12-20",28,32
"2020-12-27",22,11
"2021-01-03",41,24
"2021-01-10",29,26
"2021-01-17",42,31
"2021-01-24",27,37
"2021-01-31",35,32
"2021-02-07",38,23
"2021-02-14",31,9
"2021-02-21",27,25
"2021-02-28",69,52
"2021-03-07",38,24
"2021-03-14",66,34
"2021-03-21",45,43
"2021-03-28",45,28
"2021-04-04",64,26
