season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times,start_y,start_x
3,99100010,Александров Алексей Иванович,1,4,1,2,единая россия,1438,3,,
3,99100015,Апарина Алевтина Викторовна,5,3,3,4,кпрф,1440,3,,
3,99100021,Астраханкина Татьяна Александровна,4,3,2,4,Без или др,1439,3,,
3,99100030,Безбородов Николай Максимович,4,5,5,5,Без или др,1440,3,,
3,99100035,Биндюков Николай Гаврилович,2,3,1,2,кпрф,1440,3,,
3,99100052,Булавинов Вадим Евгеньевич,4,3,2,3,Без или др,1001,2,-246.65079101562497,-660.2770880126953
3,99100056,Бурдуков Павел Тимофеевич,4,4,4,4,Без или др,1440,3,,
3,99100077,Волков Владимир Николаевич,4,3,3,3,кпрф,1440,3,,
3,99100087,Гайдар Егор Тимурович,1,3,1,1,Без или др,1440,2,,
3,99100095,Глазьев Сергей Юрьевич,5,3,2,3,кпрф,1440,2,,
3,99100099,Говорухин Станислав Сергеевич,3,5,3,4,единая россия,1440,3,467.5145035807277,918.5808013916015
3,99100102,Головлев Владимир Иванович,1,2,3,2,Без или др,945,3,,
3,99100108,Гостев Руслан Георгиевич,3,3,1,3,кпрф,1440,3,,
3,99100109,Грачёв Иван Дмитриевич,1,1,4,2,Без или др,1438,3,,
3,99100110,Грешневиков Анатолий Николаевич,3,4,2,4,Без или др,1440,3,20.845087890625,-5091.832715301513
3,99100114,Гуков Виталий Владимирович,2,5,2,3,единая россия,1440,2,,
3,99100122,Давыдов Александр Семенович,1,3,2,2,Без или др,1440,2,,
3,99100125,Данченко Борис Иванович,1,3,1,2,Без или др,1440,3,,
3,99100128,Дмитриева Оксана Генриховна,4,1,4,3,Без или др,1438,3,,
3,99100142,Жириновский Владимир Вольфович,5,2,2,4,лдпр,1439,3,-271.3960465494799,4980.716909179688
3,99100145,Жуков Александр Дмитриевич,5,5,4,5,Без или др,1440,3,-522.3457790120447,3541.7318951416014
3,99100151,Задорнов Михаил Михайлович,5,3,4,4,яблоко,1440,3,,
3,99100167,Зоркальцев Виктор Ильич,4,4,3,4,кпрф,1440,3,,
3,99100171,Зюганов Геннадий Андреевич,4,4,1,3,кпрф,1440,3,-527.6109366861987,1994.2781262207031
3,99100172,Иваненко Сергей Викторович,5,3,4,4,яблоко,1440,3,,
3,99100178,Игрунов Вячеслав Владимирович,2,3,1,2,яблоко,1440,3,,
3,99100179,Илюхин Виктор Иванович,4,3,4,4,кпрф,1440,3,,
3,99100192,Катренко Владимир Семенович,2,5,1,3,единая россия,1440,2,,
3,99100204,Ковалев Сергей Адамович,3,2,3,3,Без или др,1440,3,,
3,99100214,Костерин Евгений Алексеевич,1,4,4,3,кпрф,1440,3,,
3,99100225,Кулик Геннадий Васильевич,5,4,5,5,единая россия,1440,3,-382.2483976236986,-4740.509328765869
3,99100228,Лапшин Михаил Иванович,3,5,3,4,единая россия,729,3,,
3,99100229,Лахова Екатерина Филипповна,3,5,1,3,единая россия,1440,3,,
3,99100239,Логинов Евгений Юрьевич,3,4,1,3,лдпр,458,3,,
3,99100244,Лукин Владимир Петрович,3,3,1,2,яблоко,1440,3,,
3,99100245,Лукьянов Анатолий Иванович,5,3,3,4,кпрф,1440,3,,
3,99100246,Лысенко Владимир Николаевич,3,4,2,3,Без или др,1440,3,,
3,99100259,Медведев Владимир Сергеевич,2,4,2,3,Без или др,1440,3,,
3,99100260,Медведев Павел Алексеевич,4,5,4,5,единая россия,1440,3,,
3,99100264,Мельников Алексей Юрьевич,1,4,2,2,яблоко,1440,3,,
3,99100270,Митрофанов Алексей Валентинович,5,3,2,4,лдпр,1440,3,,
3,99100274,Михайлов Александр Николаевич,2,3,1,2,кпрф,302,3,,
3,99100275,Михайлов Алексей Юрьевич,2,3,2,3,яблоко,1440,3,,
3,99100289,Невзоров Александр Глебович,1,2,1,1,Без или др,1371,3,,
3,99100293,Никитин Валентин Иванович,4,4,2,3,Без или др,1439,3,,
3,99100314,Пискунов Александр Александрович,1,4,1,2,Без или др,457,2,,
3,99100315,Плетнева Тамара Васильевна,4,4,3,4,кпрф,1440,3,-218.34250895182365,4440.279960327149
3,99100316,Плотников Владимир Николаевич,3,3,3,3,Без или др,1439,3,-110.51089518229239,-1443.8896350097655
3,99100319,Пономарёв Алексей Алексеевич,1,3,2,2,кпрф,1439,3,351.14256998697766,1491.8596319580079
3,99100327,Похмелкин Виктор Валерьевич,5,1,3,3,Без или др,1439,3,,
3,99100330,Пузановский Адриан Георгиевич,5,4,4,5,Без или др,1438,3,,
3,99100336,Решульский Сергей Николаевич,5,4,3,5,кпрф,1440,3,398.51903564453124,-3577.2242538452147
3,99100337,Родионов Юрий Николаевич,2,5,2,4,единая россия,1440,2,,
3,99100340,Рыбаков Юлий Андреевич,4,1,1,2,Без или др,1439,3,,
3,99100342,Рыжков Владимир Александрович,4,2,2,3,единая россия,1439,3,,
3,99100347,Севастьянов Виталий Иванович,2,3,2,3,кпрф,1440,3,,
3,99100349,Селезнёв Геннадий Николаевич,1,1,1,1,кпрф,1439,3,,
