wave2,wave3,wave4,name,population,regId
2020-08-29,2021-05-11,2021-09-07,Россия,146748590,100
2020-07-22,2021-03-14,2021-08-24,Москва,12678079,77
2020-08-12,2021-04-25,2021-08-31,Санкт-Петербург,5398064,78
2020-07-29,2021-03-16,2021-09-01,Московская область,7690863,50
2020-09-03,2021-06-01,2021-09-08,Свердловская область,4310681,66
2020-09-27,2021-06-13,2021-08-25,Самарская область,3179532,63
2020-08-03,2021-05-18,2021-09-07,Воронежская область,2324205,36
2020-09-10,2021-06-10,2021-09-09,Республика Башкортостан,4038151,2
2020-09-13,2021-06-09,2021-09-13,Пермский край,2599260,59
2020-08-31,2021-06-09,2021-09-15,Оренбургская область,1956835,56
2020-08-12,2021-05-12,2021-09-16,Республика Бурятия,985937,3
2020-08-11,2021-05-11,2021-09-06,Нижегородская область,3202946,52
2020-06-03,2021-03-23,2021-09-15,Республика Крым,1912622,91
2020-09-18,2021-04-07,2021-08-07,Смоленская область,934889,67
2020-09-29,2021-06-08,2021-09-05,Саратовская область,2421895,64
