date,search_index
2014-05-01,0.68
2014-06-01,0.53
2014-07-01,0.68
2014-08-01,0.8
2014-09-01,0.6
2014-10-01,0.38
2014-11-01,0.4
2014-12-01,0.39
2015-01-01,0.82
2015-02-01,1
2015-03-01,0.53
2015-04-01,0.47
2015-05-01,0.42
2015-06-01,0.42
2015-07-01,0.34
2015-08-01,0.41
2015-09-01,0.32
2015-10-01,0.23
2015-11-01,0.19
2015-12-01,0.24
2016-01-01,0.25
2016-02-01,0.16
2016-03-01,0.21
2016-04-01,0.2
2016-05-01,0.21
2016-06-01,0.19
2016-07-01,0.22
2016-08-01,0.25
2016-09-01,0.2
2016-10-01,0.24
2016-11-01,0.19
2016-12-01,0.18
2017-01-01,0.21
2017-02-01,0.49
2017-03-01,0.27
2017-04-01,0.25
2017-05-01,0.17
2017-06-01,0.19
2017-07-01,0.23
2017-08-01,0.2
2017-09-01,0.23
2017-10-01,0.17
2017-11-01,0.19
2017-12-01,0.22
2018-01-01,0.22
2018-02-01,0.18
2018-03-01,0.19
2018-04-01,0.2
2018-05-01,0.29
2018-06-01,0.19
2018-07-01,0.2
2018-08-01,0.24
2018-09-01,0.3
2018-10-01,0.21
2018-11-01,0.18
2018-12-01,0.2
2019-01-01,0.21
2019-02-01,0.19
2019-03-01,0.14
2019-04-01,0.19
2019-05-01,0.21
2019-06-01,0.36
2019-07-01,0.28
2019-08-01,0.17
2019-09-01,0.21
2019-10-01,0.19
2019-11-01,0.19
2019-12-01,0.14
2020-01-01,0.15
2020-02-01,0.14
2020-03-01,0.13
2020-04-01,0.14
2020-05-01,0.1
2020-06-01,0.1
2020-07-01,0.13
2020-08-01,0.18
2020-09-01,0.15
2020-10-01,0.12
2020-11-01,0.1
2020-12-01,0.11
2021-01-01,0.12
2021-02-01,0.14
2021-03-01,0.29
2021-04-01,0.55
2021-05-01,0.22
