season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
7,99100052,Булавинов Вадим Евгеньевич,2,4,2,3,единая россия,1776,5
7,99100099,Говорухин Станислав Сергеевич,2,3,2,2,единая россия,617,7
7,99100110,Грешневиков Анатолий Николаевич,3,3,2,3,справедливая россия,1776,7
7,99100142,Жириновский Владимир Вольфович,5,3,2,4,лдпр,1776,7
7,99100145,Жуков Александр Дмитриевич,5,4,3,5,единая россия,1776,6
7,99100158,Затулин Константин Федорович,4,4,1,4,единая россия,1776,4
7,99100171,Зюганов Геннадий Андреевич,4,3,3,4,кпрф,1776,7
7,99100185,Калашников Сергей Вячеславович,2,3,1,2,лдпр,306,4
7,99100225,Кулик Геннадий Васильевич,3,5,2,4,единая россия,1224,7
7,99100248,Макаров Андрей Михайлович,5,5,4,5,единая россия,1776,6
7,99100295,Никонов Вячеслав Алексеевич,5,5,3,5,единая россия,1776,3
7,99100315,Плетнева Тамара Васильевна,5,3,3,4,кпрф,1776,7
7,99100316,Плотников Владимир Николаевич,3,5,4,4,единая россия,1776,5
7,99100319,Пономарёв Алексей Алексеевич,1,2,2,2,кпрф,1776,6
7,99100336,Решульский Сергей Николаевич,3,4,1,3,кпрф,261,7
7,99100398,Федоров Евгений Алексеевич,1,5,3,4,единая россия,1776,5
7,99100407,Харитонов Николай Михайлович,5,2,2,3,кпрф,1776,7
7,99100416,Чилингаров Артур Николаевич,1,2,2,1,единая россия,1776,6
7,99100452,Морозов Олег Викторович,2,5,1,3,единая россия,334,7
7,99100522,Иванов Сергей Владимирович,5,1,1,3,лдпр,1776,4
7,99100543,Алферов Жорес Иванович,2,2,1,2,кпрф,877,6
7,99100550,Курдюмов Александр Борисович,2,3,2,3,лдпр,1634,4
7,99100601,Рашкин Валерий Федорович,4,2,3,3,кпрф,1776,5
7,99100640,Арефьев Николай Васильевич,4,3,2,3,кпрф,1776,4
7,99100654,Шаккум Мартин Люцианович,2,3,3,3,единая россия,1776,5
7,99100666,Иванов Николай Николаевич,3,2,2,3,кпрф,1776,3
7,99100692,Карелин Александр Александрович,2,4,3,3,единая россия,1441,5
7,99100696,Скоч Андрей Владимирович,1,3,3,2,единая россия,1776,5
7,99100700,Чайка Валентин Васильевич,1,4,3,3,единая россия,1776,5
7,99100713,Неверов Сергей Иванович,5,4,3,5,единая россия,1775,5
7,99100733,Ковалев Николай Дмитриевич,1,2,3,2,единая россия,918,5
7,99100749,Исаев Андрей Константинович,5,5,4,5,единая россия,1776,5
7,99100750,Лебедев Игорь Владимирович,5,1,3,3,лдпр,1776,5
7,99100761,Крашенинников Павел Владимирович,5,5,5,5,единая россия,1776,5
7,99100776,Слуцкий Леонид Эдуардович,4,3,3,4,лдпр,1776,5
7,99100781,Муцоев Зелимхан Аликоевич,1,3,4,3,единая россия,1776,5
7,99100784,Аксаков Анатолий Геннадьевич,4,4,4,5,справедливая россия,1776,5
7,99100788,Шеин Олег Васильевич,5,3,3,4,справедливая россия,1775,5
7,99100790,Омаров Гаджимурад Заирбекович,1,3,3,3,справедливая россия,1776,2
7,99100799,Драпеко Елена Григорьевна,4,4,3,4,справедливая россия,1776,5
7,99100829,Володин Вячеслав Викторович,4,4,4,4,единая россия,1776,4
7,99100862,Игошин Игорь Николаевич,1,4,2,2,единая россия,1776,5
7,99100886,Резник Владислав Матусович,2,4,4,4,единая россия,1776,5
7,99100888,Сафаралиев Гаджимет Керимович,2,4,5,4,единая россия,1776,5
7,99100972,Строкова Елена Викторовна,1,3,2,2,лдпр,1776,1
7,99101528,Герасименко Николай Федорович,3,5,2,3,единая россия,1776,6
7,99102051,Гончар Николай Николаевич,3,5,3,5,единая россия,1776,6
7,99102119,Емельянов Михаил Васильевич,4,3,4,4,справедливая россия,1775,6
7,99102913,Кобзон Иосиф Давыдович,1,4,2,2,единая россия,694,6
7,99103008,Коломейцев Николай Васильевич,5,3,3,4,кпрф,1775,5
7,99103130,Коровников Александр Венидиктович,1,2,2,2,единая россия,674,2
7,99103226,Кравец Александр Алексеевич,3,3,2,3,кпрф,1776,5
7,99104023,Мельников Иван Иванович,2,3,3,3,кпрф,1776,6
7,99104631,Панина Елена Владимировна,2,4,2,3,единая россия,1776,5
7,99105318,Савицкая Светлана Евгеньевна,2,1,1,2,кпрф,1776,6
7,99105719,Смолин Олег Николаевич,5,2,3,3,кпрф,1776,6
7,99107007,Шурчанов Валентин Сергеевич,4,3,2,4,кпрф,1534,4
7,99107264,Бугера Михаил Евгеньевич,4,5,3,5,единая россия,1776,4
7,99107687,Гартунг Валерий Карлович,5,3,3,4,справедливая россия,1776,6
7,99107708,Пивненко Валентина Николаевна,3,4,2,3,единая россия,1776,5
7,99107891,Миронов Сергей Михайлович,4,4,4,4,справедливая россия,1776,3
7,99107896,Игнатов Виктор Александрович,1,2,4,2,единая россия,1776,1
7,99109163,Сидякин Александр Геннадьевич,4,5,3,5,единая россия,749,2
7,99109598,Кравченко Денис Борисович,3,5,2,4,единая россия,1776,1
7,99109600,Лавров Олег Леонидович,1,3,2,2,лдпр,1776,1
7,99109613,Петров Юрий Александрович,1,4,4,3,единая россия,1776,2
7,99109636,Чиндяскин Сергей Викторович,1,5,4,4,единая россия,1776,2
7,99109653,Азимов Рахим Азизбоевич,1,4,4,3,единая россия,1776,1
7,99109794,Скоробогатько Александр Иванович,1,2,1,1,единая россия,58,4
7,99109798,Морозов Антон Юрьевич,3,3,1,3,лдпр,1776,2
7,99109895,Поздняков Владимир Георгиевич,3,3,2,3,кпрф,1776,2
7,99109900,Ищенко Александр Николаевич,3,5,4,5,единая россия,1776,3
7,99109906,Казаков Виктор Алексеевич,1,5,3,3,единая россия,1776,4
7,99109912,Хинштейн Александр Евсеевич,4,4,4,5,единая россия,1072,4
7,99109921,Чижов Сергей Викторович,2,5,5,4,единая россия,1776,4
7,99109928,Хайруллин Айрат Назипович,1,5,3,4,единая россия,1220,4
7,99109940,Васильев Владимир Абдуалиевич,3,4,3,4,единая россия,363,4
7,99109942,Кармазина Раиса Васильевна,3,5,4,5,единая россия,1776,4
