inn,name,group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
7726221073,"ЗАО  ""КОМБИНАТ ДОШКОЛЬНОГО ПИТАНИЯ""",1,1180356910,3537863474,6975346432,6975346432,13745282952,13839782255,22171314040,22171314040,27835962709,33907632018
7728095201,ООО «Школьник-ЮЗ»,1,1466657783,3063219194,6113041117,6113041117,13148844250,13148844250,25313868921,25313868921,29421711529,33522853392
7704167591,"ООО ""ВИТО-1""",1,1053572671,6969199396,7070942791,7070942791,10362466931,10399175752,15735641000,15735641000,19608677233,23492704091
7801499923,"ООО ""Комбинат питания ""КОНКОРД""",1,1632605354,6257036232,6340862030,6340862030,12419554458,12677570021,22336314852,22390474594,22443486501,22443486501
7713213445,ООО 'Московский школьник',1,596517365,1491225367,2228981847,2228981847,9198059259,9198059259,19606934975,19606934975,20028382097,20463418703
7729583071,ООО «РусСоцКапитал»,1,0,0,0,0,0,0,0,0,6007680067,14999405728
7729644246,"ООО ""Верона""",1,0,0,0,0,0,0,0,0,6768587410,13644701531
7716771303,"ОАО ""ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ"" СВАО",1,0,2665730389,2665881761,2665881761,6663896439,6663896439,6663896439,6663896439,6663896439,6663896439
7729628928,"ООО ""Продсоюз""",1,187712,187712,187712,187712,187712,187712,187712,187712,4344598740,4344598740
7716614646,"ГУП ""Объединенный комбинат школьного питания"" СВАО",1,111619847,3892032715,3894729796,3894729796,3894729796,3894729796,3894729796,3894729796,3894729796,3894729796
7715631649,"ООО ""ВИЛМАП""",1,602279,1356076,1356076,1356076,1356076,1356076,1356076,1356076,961736235,3767476661
7708729192,"ООО ""Социальное питание ""ЦЕНТР""",1,6263270,6263270,6263270,6263270,6263270,6263270,2707042039,2707042039,2707042039,2707042039
7709537944,"ООО ""Коникс-Школьник""",2,734600292,735182284,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315
7703803815,"ОАО ""Социальное питание ""Центр""",2,0,1325101078,1325101078,1325101078,1466193664,1466193664,1466193664,1466193664,1466193664,1466193664
7703757809,"ОАО""Социальное питание ""Центр""",2,0,1405176022,1406358444,1406358444,1406358444,1406358444,1406358444,1406358444,1406358444,1406358444
7714938596,"ООО ""Спектр-Кейтеринг""",2,0,0,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879
7727021870,ООО САТУРН-ШБС-3,2,333366119,707987232,802901434,802901434,802901434,802901434,802901434,802901434,802901434,802901434
7736622807,"ООО ""АВК""",1,553149484,582950992,582950992,582950992,582950992,582950992,582950992,582950992,582950992,582950992
7714024401,"ООО ""Комбинат школьного питания ""Логарифм""",2,263146339,514403103,528115092,528115092,528115092,528115092,528115092,528115092,528115092,528115092
7723521819,ООО «Комбинат детского питания»,2,440220867,440479527,440479527,440479527,440479527,440479527,440479527,440479527,440479527,440479527
7736538312,ОАО Мосгорснабпродторг,2,382428258,387334361,396566182,396566182,396566182,396566182,396566182,396566182,396566182,396566182
