group,subGroup,sum
образование,школы,145133115907
образование,департаменты/управления образования,56395422288
образование,шараги,12337938452
образование,вузы,5245692850
образование,другое образование,4862199946
образование,детсады,3419753197
здравоохранение,больницы,31195998785
здравоохранение,социалка,10403343746
здравоохранение,НИИ/специализированные медцентры,6357004471
здравоохранение,депздрав,802794115
здравоохранение,диспансеры,549254973
здравоохранение,госпитали,531168589
здравоохранение,центры соцзащиты и реабилитации,339169561
здравоохранение,санатории,293484395
здравоохранение,роддома,94039281
здравоохранение,другое здравоохранение,39939488
здравоохранение,детские дома,30303417
здравоохранение,ведомственные больницы и санатории,23821530
здравоохранение,ПНИ,3784748
здравоохранение,хосписы,2071785
здравоохранение,поликлиники,53878
другое,минобороны/военторг,3951219014
другое,минобороны,2543003549
другое,МЧС,1353329737
другое,местные власти,992736465
другое,федеральные власти,490030878
другое,МВД,164504952
другое,росмолодежь,38151424
другое,ЖКХ,18097679
другое,заводы,17048079
другое,другое,14821906
другое,культура,14042073
другое,ФСБ,2540602
другое,ФМС,2151941
другое,ФСИН,1237065
другое,РЖД,1087350
другое,ЦИК,600000
